T.BREAK,BREAK,T.SYNC,SYNC,T.PID,PID,T.D,Dn...
-0.950594375000000,'0' (0x00),-0.949815250000000,U (0x55),-0.949088000000000,'17' (0x11),-0.948257000000000,'0' (0x00),-0.947737625000000,'0' (0x00),-0.947218250000000,'0' (0x00),-0.946698875000000,'238' (0xEE)
-0.945660000000000,'0' (0x00),-0.944880875000000,U (0x55),-0.944309625000000,'8' (0x08),-0.943356750000000,'222' (0xDE),-0.942786875000000,\t (0x09),-0.942217125000000,` (0x60),-0.941647250000000,'175' (0xAF)
-0.940621875000000,'0' (0x00),-0.939842750000000,U (0x55),-0.939063625000000,\t (0x09),-0.938110750000000,'213' (0xD5),-0.937540750000000,\t (0x09),-0.936970625000000,` (0x60),-0.936400500000000,w (0x77)
-0.935635875000000,'0' (0x00),-0.934856750000000,U (0x55),-0.934077625000000,'16' (0x10)
-0.930649625000000,'0' (0x00),-0.929870500000000,U (0x55),-0.929091375000000,'16' (0x10)
-0.925663500000000,'0' (0x00),-0.924884500000000,U (0x55),-0.924365250000000,'16' (0x10)
-0.920625875000000,'0' (0x00),-0.919846750000000,U (0x55),-0.919119625000000,'16' (0x10)
-0.915640125000000,'0' (0x00),-0.914861000000000,U (0x55),-0.914134000000000,'16' (0x10)
-0.910654500000000,'0' (0x00),-0.909875500000000,U (0x55),-0.909096375000000,'16' (0x10)
-0.905669000000000,'0' (0x00),-0.904890125000000,U (0x55),-0.904111125000000,'1' (0x01)
-0.900683250000000,'0' (0x00),-0.899904250000000,U (0x55),-0.899125125000000,'18' (0x12),-0.898294125000000,'222' (0xDE),-0.897774750000000,\t (0x09),-0.897255250000000,'252' (0xFC),-0.896735875000000,'136' (0x88)
-0.850716875000000,'0' (0x00),-0.849937750000000,U (0x55),-0.849210625000000,'17' (0x11),-0.848379625000000,'0' (0x00),-0.847860250000000,'0' (0x00),-0.847340750000000,'0' (0x00),-0.846821250000000,'238' (0xEE)
-0.845782500000000,'0' (0x00),-0.845003500000000,U (0x55),-0.844432250000000,'8' (0x08),-0.843738625000000,'222' (0xDE),-0.843168750000000,\t (0x09),-0.842598875000000,` (0x60),-0.842029000000000,'175' (0xAF)
-0.840744500000000,'0' (0x00),-0.839965375000000,U (0x55),-0.839186250000000,\t (0x09),-0.838440875000000,'213' (0xD5),-0.837871000000000,\t (0x09),-0.837301000000000,` (0x60),-0.836731000000000,w (0x77)
-0.835758000000000,'0' (0x00),-0.834978875000000,U (0x55),-0.834199750000000,'16' (0x10)
-0.830771625000000,'0' (0x00),-0.829992500000000,U (0x55),-0.829213375000000,'16' (0x10)
-0.825733375000000,'0' (0x00),-0.824954250000000,U (0x55),-0.824227125000000,'16' (0x10)
-0.820747375000000,'0' (0x00),-0.819968250000000,U (0x55),-0.819241125000000,'16' (0x10)
-0.815761000000000,'0' (0x00),-0.814981750000000,U (0x55),-0.814254500000000,'16' (0x10)
-0.810774375000000,'0' (0x00),-0.809995250000000,U (0x55),-0.809216000000000,'16' (0x10)
-0.805787625000000,'0' (0x00),-0.805008500000000,U (0x55),-0.804229250000000,'1' (0x01)
-0.800800875000000,'0' (0x00),-0.800021750000000,U (0x55),-0.799242750000000,'18' (0x12),-0.798411750000000,'222' (0xDE),-0.797892375000000,\t (0x09),-0.797372875000000,'252' (0xFC),-0.796853375000000,'136' (0x88)
-0.750835125000000,'0' (0x00),-0.750056250000000,U (0x55),-0.749329250000000,'17' (0x11),-0.748446375000000,'0' (0x00),-0.747927125000000,'0' (0x00),-0.747407625000000,'0' (0x00),-0.746888375000000,'238' (0xEE)
-0.745849375000000,'0' (0x00),-0.745070250000000,U (0x55),-0.744291125000000,'8' (0x08),-0.743391000000000,'222' (0xDE),-0.742821375000000,\t (0x09),-0.742251750000000,` (0x60),-0.741682125000000,'175' (0xAF)
-0.740863125000000,'0' (0x00),-0.740084000000000,U (0x55),-0.739304750000000,\t (0x09),-0.738403875000000,'213' (0xD5),-0.737833750000000,\t (0x09),-0.737263625000000,` (0x60),-0.736693625000000,w (0x77)
-0.735876375000000,'0' (0x00),-0.735097250000000,U (0x55),-0.734318000000000,'16' (0x10)
-0.730889500000000,'0' (0x00),-0.730110375000000,U (0x55),-0.729591000000000,'16' (0x10)
-0.725851000000000,'0' (0x00),-0.725071875000000,U (0x55),-0.724344625000000,'16' (0x10)
-0.720864625000000,'0' (0x00),-0.720085500000000,U (0x55),-0.719358375000000,'16' (0x10)
-0.715878125000000,'0' (0x00),-0.715099125000000,U (0x55),-0.714320000000000,'16' (0x10)
-0.710891875000000,'0' (0x00),-0.710112750000000,U (0x55),-0.709333625000000,'16' (0x10)
-0.705905750000000,'0' (0x00),-0.705126750000000,U (0x55),-0.704347625000000,'1' (0x01)
-0.700919500000000,'0' (0x00),-0.700140375000000,U (0x55),-0.699361250000000,'18' (0x12),-0.698530125000000,'222' (0xDE),-0.698010625000000,\t (0x09),-0.697491250000000,'252' (0xFC),-0.696971875000000,'136' (0x88)
-0.650953625000000,'0' (0x00),-0.650174500000000,U (0x55),-0.649447500000000,'17' (0x11),-0.648564500000000,'0' (0x00),-0.648045125000000,'0' (0x00),-0.647525875000000,'0' (0x00),-0.647006500000000,'238' (0xEE)
-0.645967750000000,'0' (0x00),-0.645188875000000,U (0x55),-0.644409875000000,'8' (0x08),-0.643664750000000,'222' (0xDE),-0.643095000000000,\t (0x09),-0.642525375000000,` (0x60),-0.641955625000000,'175' (0xAF)
